fiscal_year,month_numeric,month,category,sub_category,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2023-2024,11,November,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,61000.00,8858.55,15%,(44%),2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,51000.00,8858.55,17%,,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,10000.00,0.00,0%,,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.00,,,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,TOTAL,TOTAL,84000.00,25462.76,30%,(52%),2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Recoveries of Loans and Advances,Gross Recoveries,48250.02,31799.24,66%,(108%),2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Recoveries of Loans and Advances,Less Short Term Loans and Advances,25250.02,12202.25,48%,(97%),2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,23000.00,19596.99,85%,(115%),2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,61000.00,10053.46,16%,(59%),2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,51000.00,10053.45,20%,,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,10000.00,0.00,0%,,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.01,,,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,TOTAL,TOTAL,84000.00,29650.45,35%,(69%),2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Recoveries of Loans and Advances,Gross Recoveries,199854.01,44445.74,22%,(66%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,173854.01,24240.38,14%,(48%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,26000.00,20205.36,78%,(83%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,33000.00,9018.96,27%,(42%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Miscellaneous Capital Receipts,(i) Receipts,33000.00,9018.96,27%,,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Miscellaneous Capital Receipts,(ii) Others,0.00,0.00,,(0%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,TOTAL,TOTAL,59000.00,29224.32,50%,(61%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Recoveries of Loans and Advances,Gross Recoveries,199854.01,45906.54,23%,(70%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,173854.01,24251.27,14%,(48%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,26000.00,21655.27,83%,(90%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,33000.00,15709.08,48%,(42%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Miscellaneous Capital Receipts,(i) Receipts,33000.00,9048.08,27%,,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Miscellaneous Capital Receipts,(ii) Others,0.00,6661.00,,,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,TOTAL,TOTAL,59000.00,37364.35,63%,(65%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Recoveries of Loans and Advances,Gross Recoveries,199854.01,172778.17,86%,(228%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,24557.58,49%,(48%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Recoveries of Loans and Advances,Less Back to back loans to States in lieu of GST compensation shortfall,123604.00,123604.00,100%,,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,26000.00,24616.59,95%,(102%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,33000.00,17202.20,52%,(110%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Miscellaneous Capital Receipts,(i) Receipts,33000.00,10541.20,32%,(57%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Miscellaneous Capital Receipts,(ii) Others,0.00,6661.00,,,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Miscellaneous Capital Receipts,(iii) Issue of Bonus Share,0.00,0.00,,,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,TOTAL,TOTAL,59000.00,41818.79,71%,(107%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Recoveries of Loans and Advances,Gross Recoveries,79250.01,1059.57,1%,(1%),2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,18.65,<1%,(<1%),2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,29000.00,1040.92,4%,(3%),2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,50000.00,0.01,<1%,(<1%),2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Miscellaneous Capital Receipts,(i) Receipts,50000.00,0.01,<1%,,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Miscellaneous Capital Receipts,(ii) Others,0.00,0.00,,(0%),2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,TOTAL,TOTAL,79000.00,1040.93,1%,(1%),2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Recoveries of Loans and Advances,Gross Recoveries,79250.01,2112.50,3%,(6%),2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,29.63,<1%,(<1%),2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,29000.00,2082.87,7%,(13%),2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,50000.00,3.71,<1%,(<1%),2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Miscellaneous Capital Receipts,(i) Receipts,50000.00,3.71,<1%,,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Miscellaneous Capital Receipts,(ii) Others,0.00,0.00,,(0%),2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,TOTAL,TOTAL,79000.00,2086.58,3%,(4%),2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Recoveries of Loans and Advances,Gross Recoveries,79250.01,10157.15,13%,(13%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,5640.38,11%,(<1%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,29000.00,4516.77,16%,(28%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,50000.00,3.71,<1%,(7%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Miscellaneous Capital Receipts,(i) Receipts,50000.00,3.71,<1%,,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Miscellaneous Capital Receipts,(ii) Others,0.00,0.00,,(0%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,TOTAL,TOTAL,79000.00,4520.48,6%,(13%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Recoveries of Loans and Advances,Gross Recoveries,78250.00,12032.03,15%,(22%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,5651.37,11%,(9%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,27999.99,6380.66,23%,(36%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,50000.00,4.64,<1%,(9%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Miscellaneous Capital Receipts,(i) Receipts,50000.00,4.64,<1%,,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Miscellaneous Capital Receipts,(ii) Others,0.00,0.00,,(0%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,TOTAL,TOTAL,77999.99,6385.30,8%,(16%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Recoveries of Loans and Advances,Gross Recoveries,78250.00,28606.95,37%,(25%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,20560.66,41%,(9%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,27999.99,8046.29,29%,(43%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,50000.00,820.39,2%,(9%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Miscellaneous Capital Receipts,(i) Receipts,50000.00,820.39,2%,,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Miscellaneous Capital Receipts,(ii) Others,0.00,0.00,,(0%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,TOTAL,TOTAL,77999.99,8866.68,11%,(18%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Recoveries of Loans and Advances,Gross Recoveries,78250.00,32004.81,41%,(46%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,20570.65,41%,(36%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,27999.99,11434.16,41%,(57%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,50000.00,3166.61,6%,(11%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Miscellaneous Capital Receipts,(i) Receipts,50000.00,3166.61,6%,,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Miscellaneous Capital Receipts,(ii) Others,0.00,0.00,,(0%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,TOTAL,TOTAL,77999.99,14600.77,19%,(24%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Recoveries of Loans and Advances,Gross Recoveries,78250.00,36456.63,47%,(56%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,23181.52,46%,(48%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,27999.99,13275.11,47%,(65%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,50000.00,5531.67,11%,(13%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Miscellaneous Capital Receipts,(i) Receipts,50000.00,5531.67,11%,,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Miscellaneous Capital Receipts,(ii) Others,0.00,0.00,,(0%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,TOTAL,TOTAL,77999.99,18806.78,24%,(27%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Recoveries of Loans and Advances,Gross Recoveries,78250.00,39029.53,50%,(60%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,24058.02,48%,(48%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,27999.99,14971.51,53%,(72%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,50000.00,8981.10,18%,(15%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Miscellaneous Capital Receipts,(i) Receipts,50000.00,8981.10,18%,,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Miscellaneous Capital Receipts,(ii) Others,0.00,0.00,,(0%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,TOTAL,TOTAL,77999.99,23952.61,31%,(30%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Recoveries of Loans and Advances,Gross Recoveries,78250.00,42530.16,54%,(66%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,24228.78,48%,(48%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,27999.99,18301.38,65%,(85%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,50000.00,8994.24,18%,(16%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Miscellaneous Capital Receipts,(i) Receipts,50000.00,8994.24,18%,,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Miscellaneous Capital Receipts,(ii) Others,0.00,0.00,,(0%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,TOTAL,TOTAL,77999.99,27295.62,35%,(35%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Recoveries of Loans and Advances,Gross Recoveries,147839.51,50164.99,34%,(22%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50150.01,30194.49,60%,(48%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Recoveries of Loans and Advances,Less Back to back loans to States in lieu of GST compensation shortfall,67500.00,0.00,0%,(0%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,30189.50,19970.50,66%,(78%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,33837.00,37159.75,110%,(27%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Miscellaneous Capital Receipts,(i) Receipts,33837.00,9007.32,27%,(27%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Miscellaneous Capital Receipts,(ii) Others,0.00,28107.42,,,2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Miscellaneous Capital Receipts,(iii) Issue of Bonus Share,0.00,45.01,,,2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,TOTAL,TOTAL,64026.50,57130.25,89%,(50%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Recoveries of Loans and Advances,Gross Recoveries,147839.51,51801.51,35%,(23%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50150.01,30206.01,60%,(48%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Recoveries of Loans and Advances,Less Back to back loans to States in lieu of GST compensation shortfall,67500.00,0.00,0%,(0%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,30189.50,21595.50,72%,(83%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,33837.00,43950.93,130%,(48%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Miscellaneous Capital Receipts,(i) Receipts,33837.00,15796.81,47%,(27%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Miscellaneous Capital Receipts,(ii) Others,0.00,28109.11,,,2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Miscellaneous Capital Receipts,(iii) Issue of Bonus Share,0.00,45.01,,,2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,TOTAL,TOTAL,64026.50,65546.43,102%,(63%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Recoveries of Loans and Advances,Gross Recoveries,146750.01,1068.86,1%,(1%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,20.79,<1%,(<1%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Recoveries of Loans and Advances,Less Back to back loans to States in lieu of GST compensation shortfall,67500.00,0.00,0%,,2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,29000.00,1048.07,4%,(4%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,47000.00,21411.38,46%,(<1%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Miscellaneous Capital Receipts,(i) Receipts,47000.00,3673.43,8%,(<1%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
