fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,coppy_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2021-2022,6,June,Total Major Subsidies,336439.03,100090.25,78964.26,30%,(35%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,7,July,Food Subsidy,242836.00,92204.09,57047.53,38%,(49%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Nutrient Based Fertilizers Subsidy,20762.00,8911.99,9400.10,43%,(40%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Urea Subsidy,58767.68,17720.17,21728.86,30%,(45%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Petroleum,14073.35,1232.76,16461.08,9%,(40%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Total Major Subsidies,336439.03,120069.01,104637.57,36%,(46%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,8,August,Food Subsidy,242836.00,106878.80,71078.32,44%,(62%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Nutrient Based Fertilizers Subsidy,20762.00,13516.99,10501.59,65%,(45%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Urea Subsidy,58767.68,25768.87,32579.89,44%,(68%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Petroleum,14073.35,1233.14,16540.36,9%,(40%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Total Major Subsidies,336439.03,147397.80,130700.16,44%,(57%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
