fiscal_year,month_numeric,month,description,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,9,September,A. Interest Receipts,11042.04,5748.51,52%,(47%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,B. Dividends and Profits,155395.47,59951.30,39%,(95%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,C. Non-Tax Revenue of U.T.s,2302.56,676.72,29%,(47%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,D. Other Non-Tax Revenue,,,,,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Other Non-Tax Revenue Fiscal Services (Net),750.80,39.58,5%,(76%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Other Non-Tax Revenue General Services (Net),21620.82,6630.42,31%,(50%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Other Non-Tax Revenue Social Services,4268.59,2113.69,50%,(43%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Other Non-Tax Revenue Economic Services (Net),188825.02,16835.22,9%,(31%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Other Non-Tax Revenue Grants-in-Aid and Contributions,812.00,278.13,34%,(16%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Total Other Non-Tax Revenue,216277.23,25897.04,12%,(35%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,Net Non-Tax Revenue,385017.30,92273.57,24%,(67%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,A. Interest Receipts,11042.04,8138.39,74%,(49%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,B. Dividends and Profits,155395.47,67081.80,43%,(97%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,C. Non-Tax Revenue of U.T.s,2302.56,843.05,37%,(55%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,D. Other Non-Tax Revenue,,,,,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Other Non-Tax Revenue Fiscal Services (Net),750.80,40.96,5%,(76%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Other Non-Tax Revenue General Services (Net),21620.82,7658.62,35%,(57%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Other Non-Tax Revenue Social Services,4268.59,2362.78,55%,(47%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Other Non-Tax Revenue Economic Services (Net),188825.02,29072.49,15%,(41%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Other Non-Tax Revenue Grants-in-Aid and Contributions,812.00,1008.34,124%,(17%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Total Other Non-Tax Revenue,216277.23,40143.19,19%,(44%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,Net Non-Tax Revenue,385017.30,116206.43,30%,(72%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,A. Interest Receipts,11042.04,9568.36,87%,(55%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,B. Dividends and Profits,155395.47,70613.63,45%,(97%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,C. Non-Tax Revenue of U.T.s,2302.56,974.69,42%,(62%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,D. Other Non-Tax Revenue,,,,,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Other Non-Tax Revenue Fiscal Services (Net),750.80,54.24,7%,(89%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Other Non-Tax Revenue General Services (Net),21620.82,8472.19,39%,(64%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Other Non-Tax Revenue Social Services,4268.59,2488.23,58%,(52%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Other Non-Tax Revenue Economic Services (Net),188825.02,31088.60,16%,(45%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Other Non-Tax Revenue Grants-in-Aid and Contributions,812.00,1019.55,126%,(19%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Total Other Non-Tax Revenue,216277.23,43122.81,20%,(49%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,Net Non-Tax Revenue,385017.30,124279.49,32%,(74%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,A. Interest Receipts,11042.04,11267.31,102%,(63%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,B. Dividends and Profits,155395.47,70847.62,46%,(99%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,C. Non-Tax Revenue of U.T.s,2302.56,1128.78,49%,(69%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,D. Other Non-Tax Revenue,,,,,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Other Non-Tax Revenue Fiscal Services (Net),750.80,57.07,8%,(90%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Other Non-Tax Revenue General Services (Net),21620.82,10084.75,47%,(70%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
