fiscal_year,month_numeric,month,description,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2024-2025,7,July,Other Non-Tax Revenue Economic Services (Net),182089.92,46296.19,25%,(33%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Other Non-Tax Revenue Grants-in-Aid and Contributions,1043.81,23.27,2%,(4%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Total Other Non-Tax Revenue,215432.68,58194.58,27%,(34%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Net Non-Tax Revenue,545701.00,301795.96,55%,(59%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,A. Interest Receipts,38224.00,17530.45,46%,(59%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,B. Dividends and Profits,289134.00,239695.32,83%,(117%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,C. Non-Tax Revenue of U.T.s,2910.32,1146.17,39%,(69%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,D. Other Non-Tax Revenue,,,,,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Other Non-Tax Revenue Fiscal Services (Net),1834.41,784.00,4 3%,(53%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Other Non-Tax Revenue General Services (Net),23320.91,11195.24,48%,(48%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Other Non-Tax Revenue Social Services,7143.63,3082.38,43%,(81%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Other Non-Tax Revenue Economic Services (Net),182089.92,61008.04,34%,(47%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Other Non-Tax Revenue Grants-in-Aid and Contributions,1043.81,25.05,2%,(6%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Total Other Non-Tax Revenue,215432.68,76094.71,35%,(47%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,Net Non-Tax Revenue,545701.00,334466.65,61%,(69%),2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,A. Interest Receipts,38224.00,20355.24,53%,(70%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,B. Dividends and Profits,289134.00,250632.71,87%,(133%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,C. Non-Tax Revenue of U.T.s,2910.32,1372.66,4 7%,(77%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,D. Other Non-Tax Revenue,,,,,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Other Non-Tax Revenue Fiscal Services (Net),1834.41,890.46,4 9%,(53%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Other Non-Tax Revenue General Services (Net),23320.91,13633.17,58%,(57%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Other Non-Tax Revenue Social Services,7143.63,3437.06,48%,(93%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Other Non-Tax Revenue Economic Services (Net),182089.92,66844.80,37%,(52%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Other Non-Tax Revenue Grants-in-Aid and Contributions,1043.81,47.82,5%,(6%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Total Other Non-Tax Revenue,215432.68,84853.31,39%,(53%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,Net Non-Tax Revenue,545701.00,357213.92,65%,(78%),2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,A. Interest Receipts,38224.00,22701.18,59%,(79%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,B. Dividends and Profits,289134.00,264278.31,91%,(137%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,C. Non-Tax Revenue of U.T.s,2910.32,1642.09,56%,(88%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,D. Other Non-Tax Revenue,,,,,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Other Non-Tax Revenue Fiscal Services (Net),1834.41,897.41,4 9%,(53%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Other Non-Tax Revenue General Services (Net),23320.91,17041.35,73%,(65%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Other Non-Tax Revenue Social Services,7143.63,3969.83,56%,(101%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Other Non-Tax Revenue Economic Services (Net),182089.92,88620.80,49%,(65%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Other Non-Tax Revenue Grants-in-Aid and Contributions,1043.81,142.59,14%,(6%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Total Other Non-Tax Revenue,215432.68,110671.98,51%,(65%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,Net Non-Tax Revenue,545701.00,399293.56,73%,(88%),2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,A. Interest Receipts,38224.00,26842.32,70%,(95%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,B. Dividends and Profits,289134.00,279060.74,97%,(144%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,C. Non-Tax Revenue of U.T.s,2910.32,1869.97,64%,(99%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,D. Other Non-Tax Revenue,,,,,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Other Non-Tax Revenue Fiscal Services (Net),1834.41,1236.06,67%,(82%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Other Non-Tax Revenue General Services (Net),23320.91,19633.83,84%,(74%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Other Non-Tax Revenue Social Services,7143.63,4487.87,63%,(109%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Other Non-Tax Revenue Economic Services (Net),182089.92,93728.16,51%,(68%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Other Non-Tax Revenue Grants-in-Aid and Contributions,1043.81,161.31,15%,(8%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Total Other Non-Tax Revenue,215432.68,119247.23,55%,(69%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,Net Non-Tax Revenue,545701.00,427020.26,78%,(94%),2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,A. Interest Receipts,38224.00,29902.69,78%,(109%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,B. Dividends and Profits,289134.00,284772.07,98%,(162%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,C. Non-Tax Revenue of U.T.s,2910.32,2088.36,72%,(108%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,D. Other Non-Tax Revenue,,,,,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Other Non-Tax Revenue Fiscal Services (Net),1834.41,1243.76,68%,(85%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Other Non-Tax Revenue General Services (Net),23320.91,21814.68,94%,(83%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Other Non-Tax Revenue Social Services,7143.63,4876.26,68%,(118%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Other Non-Tax Revenue Economic Services (Net),182089.92,102325.69,56%,(72%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Other Non-Tax Revenue Grants-in-Aid and Contributions,1043.81,633.07,61%,(33%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Total Other Non-Tax Revenue,215432.68,130893.46,61%,(74%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,Net Non-Tax Revenue,545701.00,447656.58,82%,(104%),2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,A. Interest Receipts,40165.00,30488.47,76%,(94%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,B. Dividends and Profits,375590.00,350971.61,93%,(99%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,C. Non-Tax Revenue of U.T.s,1806.89,1406.37,78%,(89%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,D. Other Non-Tax Revenue,,,,,2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Other Non-Tax Revenue Fiscal Services (Net),1779.00,1019.45,57%,(85%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Other Non-Tax Revenue General Services (Net),29460.98,23932.36,81%,(111%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Other Non-Tax Revenue Social Services,6882.57,4928.44,72%,(85%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Other Non-Tax Revenue Economic Services (Net),210338.59,143780.20,68%,(66%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Other Non-Tax Revenue Grants-in-Aid and Contributions,1638.97,779.73,48%,(56%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Total Other Non-Tax Revenue,250100.11,174440.18,70%,(72%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,Net Non-Tax Revenue,667662.00,557306.63,83%,(88%),2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,A. Interest Receipts,40165.00,34466.90,8 6%,(103%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,B. Dividends and Profits,375590.00,362190.90,96%,(104%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,C. Non-Tax Revenue of U.T.s,1806.89,1552.68,86%,(94%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,D. Other Non-Tax Revenue,,,,,2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Other Non-Tax Revenue Fiscal Services (Net),1779.00,1316.70,74%,(106%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Other Non-Tax Revenue General Services (Net),29460.98,25943.34,88%,(119%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Other Non-Tax Revenue Social Services,6882.57,5580.33,81%,(97%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Other Non-Tax Revenue Economic Services (Net),210338.59,149340.39,71%,(70%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Other Non-Tax Revenue Grants-in-Aid and Contributions,1638.97,781.75,48%,(56%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Total Other Non-Tax Revenue,250100.11,182962.51,73%,(76%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,Net Non-Tax Revenue,667662.00,581172.99,87%,(93%),2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,A. Interest Receipts,47737.98,1432.60,3%,(9%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,B. Dividends and Profits,325000.00,1916.34,1%,(1%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,C. Non-Tax Revenue of U.T.s,3419.18,175.46,5%,(8%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,D. Other Non-Tax Revenue,,,,,2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Other Non-Tax Revenue Fiscal Services (Net),2318.68,20.44,1%,(0%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Other Non-Tax Revenue General Services (Net),33334.74,4238.01,13%,(15%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Other Non-Tax Revenue Social Services,11187.46,666.87,6%,(13%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Other Non-Tax Revenue Economic Services (Net),158827.43,58707.18,37%,(8%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Other Non-Tax Revenue Grants-in-Aid and Contributions,1174.53,2.89,<1%,(<1%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Total Other Non-Tax Revenue,206842.84,63635.39,31%,(9%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,Net Non-Tax Revenue,583000.00,67159.79,12%,(5%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,A. Interest Receipts,47737.98,6634.16,14%,(21%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,B. Dividends and Profits,325000.00,278701.56,86%,(75%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,C. Non-Tax Revenue of U.T.s,3419.18,322.41,9%,(16%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,D. Other Non-Tax Revenue,,,,,2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Other Non-Tax Revenue Fiscal Services (Net),2318.68,296.77,13%,(21%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Other Non-Tax Revenue General Services (Net),33334.74,6245.82,19%,(22%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Other Non-Tax Revenue Social Services,11187.46,1077.41,10%,(22%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Other Non-Tax Revenue Economic Services (Net),158827.43,63584.23,40%,(11%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Other Non-Tax Revenue Grants-in-Aid and Contributions,1174.53,14.62,1%,(1%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Total Other Non-Tax Revenue,206842.84,71218.85,34%,(13%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Net Non-Tax Revenue,583000.00,356876.98,61%,(46%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,A. Interest Receipts,47737.98,9703.70,20%,(31%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,B. Dividends and Profits,325000.00,281745.43,87%,(78%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,C. Non-Tax Revenue of U.T.s,3419.18,455.71,13%,(23%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,D. Other Non-Tax Revenue,,,,,2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Other Non-Tax Revenue Fiscal Services (Net),2318.68,316.26,14%,(21%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Other Non-Tax Revenue General Services (Net),33334.74,8995.85,27%,(31%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Other Non-Tax Revenue Social Services,11187.46,1726.83,15%,(26%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Other Non-Tax Revenue Economic Services (Net),158827.43,70097.00,44%,(19%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Other Non-Tax Revenue Grants-in-Aid and Contributions,1174.53,20.11,2%,(2%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Total Other Non-Tax Revenue,206842.84,81156.05,39%,(20%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Net Non-Tax Revenue,583000.00,373060.89,64%,(51%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,A. Interest Receipts,47737.98,11792.42,25%,(36%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,B. Dividends and Profits,325000.00,293620.74,90%,(79%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,C. Non-Tax Revenue of U.T.s,3419.18,646.96,19%,(32%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,D. Other Non-Tax Revenue,,,,,2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Other Non-Tax Revenue Fiscal Services (Net),2318.68,326.99,14%,(23%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Other Non-Tax Revenue General Services (Net),33334.74,10851.92,33%,(38%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Other Non-Tax Revenue Social Services,11187.46,2429.40,22%,(36%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Other Non-Tax Revenue Economic Services (Net),158827.43,83886.61,53%,(25%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Other Non-Tax Revenue Grants-in-Aid and Contributions,1174.53,53.40,5%,(2%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Total Other Non-Tax Revenue,206842.84,97548.32,47%,(27%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Net Non-Tax Revenue,583000.00,403608.44,69%,(55%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,A. Interest Receipts,47737.98,14776.08,31%,(46%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,B. Dividends and Profits,325000.00,308768.79,95%,(83%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,C. Non-Tax Revenue of U.T.s,3419.18,806.78,24%,(39%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,D. Other Non-Tax Revenue,,,,,2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Other Non-Tax Revenue Fiscal Services (Net),2318.68,629.74,27%,(43%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Other Non-Tax Revenue General Services (Net),33334.74,12781.28,38%,(48%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Other Non-Tax Revenue Social Services,11187.46,2896.34,26%,(43%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Other Non-Tax Revenue Economic Services (Net),158827.43,99553.06,63%,(34%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Other Non-Tax Revenue Grants-in-Aid and Contributions,1174.53,120.25,10%,(2%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Total Other Non-Tax Revenue,206842.84,115980.67,56%,(35%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Net Non-Tax Revenue,583000.00,440332.32,76%,(61%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,A. Interest Receipts,47737.98,18015.35,38%,(53%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,B. Dividends and Profits,325000.00,321512.09,99%,(87%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,C. Non-Tax Revenue of U.T.s,3419.18,936.87,27%,(47%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,D. Other Non-Tax Revenue,,,,,2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Other Non-Tax Revenue Fiscal Services (Net),2318.68,650.76,28%,(49%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Other Non-Tax Revenue General Services (Net),33334.74,15672.84,47%,(58%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Other Non-Tax Revenue Social Services,11187.46,3769.73,34%,(48%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Other Non-Tax Revenue Economic Services (Net),158827.43,105413.47,66%,(37%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Other Non-Tax Revenue Grants-in-Aid and Contributions,1174.53,104.67,9%,(5%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Total Other Non-Tax Revenue,206842.84,125611.47,61%,(39%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Net Non-Tax Revenue,583000.00,466075.78,80%,(65%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,A. Interest Receipts,47737.98,20641.83,43%,(59%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,B. Dividends and Profits,325000.00,324196.70,100%,(91%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,C. Non-Tax Revenue of U.T.s,3419.18,1145.08,33%,(56%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,D. Other Non-Tax Revenue,,,,,2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Other Non-Tax Revenue Fiscal Services (Net),2318.68,671.75,29%,(49%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Other Non-Tax Revenue General Services (Net),33334.74,18680.65,56%,(73%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
